date,Country/Region,Province/State,N,I,R
1/22/20,Afghanistan,,38928346.0,0,0
1/23/20,Afghanistan,,38928346.0,0,0
1/24/20,Afghanistan,,38928346.0,0,0
1/25/20,Afghanistan,,38928346.0,0,0
1/26/20,Afghanistan,,38928346.0,0,0
1/27/20,Afghanistan,,38928346.0,0,0
1/28/20,Afghanistan,,38928346.0,0,0
1/29/20,Afghanistan,,38928346.0,0,0
1/30/20,Afghanistan,,38928346.0,0,0
1/31/20,Afghanistan,,38928346.0,0,0
2/1/20,Afghanistan,,38928346.0,0,0
2/2/20,Afghanistan,,38928346.0,0,0
2/3/20,Afghanistan,,38928346.0,0,0
2/4/20,Afghanistan,,38928346.0,0,0
2/5/20,Afghanistan,,38928346.0,0,0
2/6/20,Afghanistan,,38928346.0,0,0
2/7/20,Afghanistan,,38928346.0,0,0
2/8/20,Afghanistan,,38928346.0,0,0
2/9/20,Afghanistan,,38928346.0,0,0
2/10/20,Afghanistan,,38928346.0,0,0
2/11/20,Afghanistan,,38928346.0,0,0
2/12/20,Afghanistan,,38928346.0,0,0
2/13/20,Afghanistan,,38928346.0,0,0
2/14/20,Afghanistan,,38928346.0,0,0
2/15/20,Afghanistan,,38928346.0,0,0
2/16/20,Afghanistan,,38928346.0,0,0
2/17/20,Afghanistan,,38928346.0,0,0
2/18/20,Afghanistan,,38928346.0,0,0
2/19/20,Afghanistan,,38928346.0,0,0
2/20/20,Afghanistan,,38928346.0,0,0
2/21/20,Afghanistan,,38928346.0,0,0
2/22/20,Afghanistan,,38928346.0,0,0
2/23/20,Afghanistan,,38928346.0,0,0
2/24/20,Afghanistan,,38928346.0,1,0
2/25/20,Afghanistan,,38928346.0,1,0
2/26/20,Afghanistan,,38928346.0,1,0
2/27/20,Afghanistan,,38928346.0,1,0
2/28/20,Afghanistan,,38928346.0,1,0
2/29/20,Afghanistan,,38928346.0,1,0
3/1/20,Afghanistan,,38928346.0,1,0
3/2/20,Afghanistan,,38928346.0,1,0
3/3/20,Afghanistan,,38928346.0,1,0
3/4/20,Afghanistan,,38928346.0,1,0
3/5/20,Afghanistan,,38928346.0,1,0
3/6/20,Afghanistan,,38928346.0,1,0
3/7/20,Afghanistan,,38928346.0,1,0
3/8/20,Afghanistan,,38928346.0,4,0
3/9/20,Afghanistan,,38928346.0,4,0
3/10/20,Afghanistan,,38928346.0,5,0
3/11/20,Afghanistan,,38928346.0,7,0
3/12/20,Afghanistan,,38928346.0,7,0
3/13/20,Afghanistan,,38928346.0,7,0
3/14/20,Afghanistan,,38928346.0,11,0
3/15/20,Afghanistan,,38928346.0,16,0
3/16/20,Afghanistan,,38928346.0,21,1
3/17/20,Afghanistan,,38928346.0,22,1
3/18/20,Afghanistan,,38928346.0,22,1
3/19/20,Afghanistan,,38928346.0,22,1
3/20/20,Afghanistan,,38928346.0,24,1
3/21/20,Afghanistan,,38928346.0,24,1
3/22/20,Afghanistan,,38928346.0,40,2
3/23/20,Afghanistan,,38928346.0,40,2
3/24/20,Afghanistan,,38928346.0,74,2
3/25/20,Afghanistan,,38928346.0,84,4
3/26/20,Afghanistan,,38928346.0,94,6
3/27/20,Afghanistan,,38928346.0,110,6
3/28/20,Afghanistan,,38928346.0,110,6
3/29/20,Afghanistan,,38928346.0,120,6
3/30/20,Afghanistan,,38928346.0,170,6
3/31/20,Afghanistan,,38928346.0,174,9
4/1/20,Afghanistan,,38928346.0,237,9
4/2/20,Afghanistan,,38928346.0,273,16
4/3/20,Afghanistan,,38928346.0,281,16
4/4/20,Afghanistan,,38928346.0,299,17
4/5/20,Afghanistan,,38928346.0,349,22
4/6/20,Afghanistan,,38928346.0,367,29
4/7/20,Afghanistan,,38928346.0,423,32
4/8/20,Afghanistan,,38928346.0,444,43
4/9/20,Afghanistan,,38928346.0,484,47
4/10/20,Afghanistan,,38928346.0,521,47
4/11/20,Afghanistan,,38928346.0,555,50
4/12/20,Afghanistan,,38928346.0,607,50
4/13/20,Afghanistan,,38928346.0,665,53
4/14/20,Afghanistan,,38928346.0,714,63
4/15/20,Afghanistan,,38928346.0,784,68
4/16/20,Afghanistan,,38928346.0,840,84
4/17/20,Afghanistan,,38928346.0,906,129
4/18/20,Afghanistan,,38928346.0,933,142
4/19/20,Afghanistan,,38928346.0,996,164
4/20/20,Afghanistan,,38928346.0,1026,171
4/21/20,Afghanistan,,38928346.0,1092,186
4/22/20,Afghanistan,,38928346.0,1176,206
4/23/20,Afghanistan,,38928346.0,1279,221
4/24/20,Afghanistan,,38928346.0,1351,231
4/25/20,Afghanistan,,38928346.0,1463,235
4/26/20,Afghanistan,,38928346.0,1531,257
4/27/20,Afghanistan,,38928346.0,1703,277
4/28/20,Afghanistan,,38928346.0,1828,286
4/29/20,Afghanistan,,38928346.0,1939,312
4/30/20,Afghanistan,,38928346.0,2171,324
5/1/20,Afghanistan,,38928346.0,2335,378
5/2/20,Afghanistan,,38928346.0,2469,403
5/3/20,Afghanistan,,38928346.0,2704,430
5/4/20,Afghanistan,,38928346.0,2894,487
5/5/20,Afghanistan,,38928346.0,3224,516
5/6/20,Afghanistan,,38928346.0,3392,562
5/7/20,Afghanistan,,38928346.0,3563,574
5/8/20,Afghanistan,,38928346.0,3778,581
5/9/20,Afghanistan,,38928346.0,4033,617
5/10/20,Afghanistan,,38928346.0,4402,678
5/11/20,Afghanistan,,38928346.0,4687,680
5/12/20,Afghanistan,,38928346.0,4963,737
5/13/20,Afghanistan,,38928346.0,5226,780
5/14/20,Afghanistan,,38928346.0,5639,827
5/15/20,Afghanistan,,38928346.0,6053,898
5/16/20,Afghanistan,,38928346.0,6402,913
5/17/20,Afghanistan,,38928346.0,6664,947
5/18/20,Afghanistan,,38928346.0,7072,974
5/19/20,Afghanistan,,38928346.0,7653,1028
5/20/20,Afghanistan,,38928346.0,8145,1117
5/21/20,Afghanistan,,38928346.0,8676,1131
5/22/20,Afghanistan,,38928346.0,9216,1201
5/23/20,Afghanistan,,38928346.0,9998,1256
5/24/20,Afghanistan,,38928346.0,10582,1293
5/25/20,Afghanistan,,38928346.0,11173,1316
5/26/20,Afghanistan,,38928346.0,11831,1348
5/27/20,Afghanistan,,38928346.0,12456,1365
5/28/20,Afghanistan,,38928346.0,13036,1444
5/29/20,Afghanistan,,38928346.0,13659,1505
5/30/20,Afghanistan,,38928346.0,14525,1552
5/31/20,Afghanistan,,38928346.0,15205,1585
6/1/20,Afghanistan,,38928346.0,15750,1693
6/2/20,Afghanistan,,38928346.0,16509,1720
6/3/20,Afghanistan,,38928346.0,17267,1816
6/4/20,Afghanistan,,38928346.0,18054,1885
6/5/20,Afghanistan,,38928346.0,18969,2071
6/6/20,Afghanistan,,38928346.0,19551,2157
6/7/20,Afghanistan,,38928346.0,20342,2232
6/8/20,Afghanistan,,38928346.0,20917,2540
6/9/20,Afghanistan,,38928346.0,21459,3035
6/10/20,Afghanistan,,38928346.0,22142,3418
6/11/20,Afghanistan,,38928346.0,22890,3752
6/12/20,Afghanistan,,38928346.0,23546,4374
6/13/20,Afghanistan,,38928346.0,24102,4652
6/14/20,Afghanistan,,38928346.0,24766,5196
6/15/20,Afghanistan,,38928346.0,25527,5642
6/16/20,Afghanistan,,38928346.0,26310,5999
6/17/20,Afghanistan,,38928346.0,26874,6662
6/18/20,Afghanistan,,38928346.0,27532,8206
6/19/20,Afghanistan,,38928346.0,27878,8510
6/20/20,Afghanistan,,38928346.0,28424,8861
6/21/20,Afghanistan,,38928346.0,28833,9345
6/22/20,Afghanistan,,38928346.0,29157,9439
6/23/20,Afghanistan,,38928346.0,29481,9878
6/24/20,Afghanistan,,38928346.0,29640,10508
6/25/20,Afghanistan,,38928346.0,30175,10849
6/26/20,Afghanistan,,38928346.0,30451,10989
6/27/20,Afghanistan,,38928346.0,30616,11377
6/28/20,Afghanistan,,38928346.0,30967,13325
6/29/20,Afghanistan,,38928346.0,31238,14667
6/30/20,Afghanistan,,38928346.0,31517,14877
7/1/20,Afghanistan,,38928346.0,31836,16425
7/2/20,Afghanistan,,38928346.0,32022,16848
7/3/20,Afghanistan,,38928346.0,32324,18150
7/4/20,Afghanistan,,38928346.0,32672,19990
7/5/20,Afghanistan,,38928346.0,32951,20230
7/6/20,Afghanistan,,38928346.0,33190,21001
7/7/20,Afghanistan,,38928346.0,33384,21099
7/8/20,Afghanistan,,38928346.0,33594,21636
7/9/20,Afghanistan,,38928346.0,33908,21804
7/10/20,Afghanistan,,38928346.0,34194,21853
7/11/20,Afghanistan,,38928346.0,34366,22129
7/12/20,Afghanistan,,38928346.0,34451,22226
7/13/20,Afghanistan,,38928346.0,34455,22266
7/14/20,Afghanistan,,38928346.0,34740,22502
7/15/20,Afghanistan,,38928346.0,34994,23550
7/16/20,Afghanistan,,38928346.0,35070,23937
7/17/20,Afghanistan,,38928346.0,35229,24298
7/18/20,Afghanistan,,38928346.0,35301,24437
7/19/20,Afghanistan,,38928346.0,35475,24815
7/20/20,Afghanistan,,38928346.0,35526,24926
7/21/20,Afghanistan,,38928346.0,35615,24927
7/22/20,Afghanistan,,38928346.0,35727,25114
7/23/20,Afghanistan,,38928346.0,35928,25761
7/24/20,Afghanistan,,38928346.0,35981,25827
7/25/20,Afghanistan,,38928346.0,36036,26041
7/26/20,Afghanistan,,38928346.0,36157,26439
7/27/20,Afghanistan,,38928346.0,36263,26467
7/28/20,Afghanistan,,38928346.0,36368,26628
7/29/20,Afghanistan,,38928346.0,36471,26660
7/30/20,Afghanistan,,38928346.0,36542,26742
7/31/20,Afghanistan,,38928346.0,36675,26781
8/1/20,Afghanistan,,38928346.0,36710,26792
8/2/20,Afghanistan,,38928346.0,36710,26794
8/3/20,Afghanistan,,38928346.0,36747,26957
8/4/20,Afghanistan,,38928346.0,36782,26957
8/5/20,Afghanistan,,38928346.0,36829,27036
8/6/20,Afghanistan,,38928346.0,36896,27138
8/7/20,Afghanistan,,38928346.0,37015,27210
8/8/20,Afghanistan,,38928346.0,37054,27272
8/9/20,Afghanistan,,38928346.0,37054,27272
8/10/20,Afghanistan,,38928346.0,37162,27556
8/11/20,Afghanistan,,38928346.0,37269,27759
8/12/20,Afghanistan,,38928346.0,37345,28048
8/13/20,Afghanistan,,38928346.0,37424,28077
8/14/20,Afghanistan,,38928346.0,37431,28077
8/15/20,Afghanistan,,38928346.0,37551,28536
8/16/20,Afghanistan,,38928346.0,37596,28541
8/17/20,Afghanistan,,38928346.0,37599,28541
8/18/20,Afghanistan,,38928346.0,37599,28541
8/19/20,Afghanistan,,38928346.0,37599,28541
8/20/20,Afghanistan,,38928346.0,37856,29066
8/21/20,Afghanistan,,38928346.0,37894,29401
8/22/20,Afghanistan,,38928346.0,37953,29401
8/23/20,Afghanistan,,38928346.0,37999,29567
8/24/20,Afghanistan,,38928346.0,38054,29749
8/25/20,Afghanistan,,38928346.0,38070,29837
8/26/20,Afghanistan,,38928346.0,38113,30443
8/27/20,Afghanistan,,38928346.0,38129,30447
8/28/20,Afghanistan,,38928346.0,38140,30461
8/29/20,Afghanistan,,38928346.0,38143,30465
1/22/20,Albania,,2877797.0,0,0
1/23/20,Albania,,2877797.0,0,0
1/24/20,Albania,,2877797.0,0,0
1/25/20,Albania,,2877797.0,0,0
1/26/20,Albania,,2877797.0,0,0
1/27/20,Albania,,2877797.0,0,0
1/28/20,Albania,,2877797.0,0,0
1/29/20,Albania,,2877797.0,0,0
1/30/20,Albania,,2877797.0,0,0
1/31/20,Albania,,2877797.0,0,0
2/1/20,Albania,,2877797.0,0,0
2/2/20,Albania,,2877797.0,0,0
2/3/20,Albania,,2877797.0,0,0
2/4/20,Albania,,2877797.0,0,0
2/5/20,Albania,,2877797.0,0,0
2/6/20,Albania,,2877797.0,0,0
2/7/20,Albania,,2877797.0,0,0
2/8/20,Albania,,2877797.0,0,0
2/9/20,Albania,,2877797.0,0,0
2/10/20,Albania,,2877797.0,0,0
2/11/20,Albania,,2877797.0,0,0
2/12/20,Albania,,2877797.0,0,0
2/13/20,Albania,,2877797.0,0,0
2/14/20,Albania,,2877797.0,0,0
2/15/20,Albania,,2877797.0,0,0
2/16/20,Albania,,2877797.0,0,0
2/17/20,Albania,,2877797.0,0,0
2/18/20,Albania,,2877797.0,0,0
2/19/20,Albania,,2877797.0,0,0
2/20/20,Albania,,2877797.0,0,0
2/21/20,Albania,,2877797.0,0,0
2/22/20,Albania,,2877797.0,0,0
2/23/20,Albania,,2877797.0,0,0
2/24/20,Albania,,2877797.0,0,0
2/25/20,Albania,,2877797.0,0,0
2/26/20,Albania,,2877797.0,0,0
2/27/20,Albania,,2877797.0,0,0
2/28/20,Albania,,2877797.0,0,0
2/29/20,Albania,,2877797.0,0,0
3/1/20,Albania,,2877797.0,0,0
3/2/20,Albania,,2877797.0,0,0
3/3/20,Albania,,2877797.0,0,0
3/4/20,Albania,,2877797.0,0,0
3/5/20,Albania,,2877797.0,0,0
3/6/20,Albania,,2877797.0,0,0
3/7/20,Albania,,2877797.0,0,0
3/8/20,Albania,,2877797.0,0,0
3/9/20,Albania,,2877797.0,2,0
3/10/20,Albania,,2877797.0,10,0
3/11/20,Albania,,2877797.0,12,1
3/12/20,Albania,,2877797.0,23,1
3/13/20,Albania,,2877797.0,33,1
3/14/20,Albania,,2877797.0,38,1
3/15/20,Albania,,2877797.0,42,1
3/16/20,Albania,,2877797.0,51,1
3/17/20,Albania,,2877797.0,55,1
3/18/20,Albania,,2877797.0,59,2
3/19/20,Albania,,2877797.0,64,2
3/20/20,Albania,,2877797.0,70,2
3/21/20,Albania,,2877797.0,76,4
3/22/20,Albania,,2877797.0,89,4
3/23/20,Albania,,2877797.0,104,6
3/24/20,Albania,,2877797.0,123,15
3/25/20,Albania,,2877797.0,146,22
3/26/20,Albania,,2877797.0,174,23
3/27/20,Albania,,2877797.0,186,39
3/28/20,Albania,,2877797.0,197,41
3/29/20,Albania,,2877797.0,212,43
3/30/20,Albania,,2877797.0,223,55
3/31/20,Albania,,2877797.0,243,67
4/1/20,Albania,,2877797.0,259,82
4/2/20,Albania,,2877797.0,277,92
4/3/20,Albania,,2877797.0,304,106
4/4/20,Albania,,2877797.0,333,119
4/5/20,Albania,,2877797.0,361,124
4/6/20,Albania,,2877797.0,377,137
4/7/20,Albania,,2877797.0,383,153
4/8/20,Albania,,2877797.0,400,176
4/9/20,Albania,,2877797.0,409,188
4/10/20,Albania,,2877797.0,416,205
4/11/20,Albania,,2877797.0,433,220
4/12/20,Albania,,2877797.0,446,240
4/13/20,Albania,,2877797.0,467,255
4/14/20,Albania,,2877797.0,475,272
4/15/20,Albania,,2877797.0,494,276
4/16/20,Albania,,2877797.0,518,303
4/17/20,Albania,,2877797.0,539,309
4/18/20,Albania,,2877797.0,548,328
4/19/20,Albania,,2877797.0,562,340
4/20/20,Albania,,2877797.0,584,353
