"REF_DATE","GEO","DGUID","Airports","Domestic and international itinerant movements","Type of operation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Canada","2016A000011124","Total, all airports","Domestic movements","Total itinerant movements","Number","223","units","0","v32858858","1.1.1.1","164834","","","","0"
"2020-02","Canada","2016A000011124","Total, all airports","Domestic movements","Total itinerant movements","Number","223","units","0","v32858858","1.1.1.1","180926","","","","0"
"2020-03","Canada","2016A000011124","Total, all airports","Domestic movements","Total itinerant movements","Number","223","units","0","v32858858","1.1.1.1","155448","","","","0"
"2020-04","Canada","2016A000011124","Total, all airports","Domestic movements","Total itinerant movements","Number","223","units","0","v32858858","1.1.1.1","58875","","","","0"
"2020-05","Canada","2016A000011124","Total, all airports","Domestic movements","Total itinerant movements","Number","223","units","0","v32858858","1.1.1.1","85789","","","","0"
"2020-06","Canada","2016A000011124","Total, all airports","Domestic movements","Total itinerant movements","Number","223","units","0","v32858858","1.1.1.1","126565","","","","0"
"2020-01","Canada","2016A000011124","Total, all airports","Transborder movements","Total itinerant movements","Number","223","units","0","v32858865","1.1.2.1","35861","","","","0"
"2020-02","Canada","2016A000011124","Total, all airports","Transborder movements","Total itinerant movements","Number","223","units","0","v32858865","1.1.2.1","34489","","","","0"
"2020-03","Canada","2016A000011124","Total, all airports","Transborder movements","Total itinerant movements","Number","223","units","0","v32858865","1.1.2.1","28958","","","","0"
"2020-04","Canada","2016A000011124","Total, all airports","Transborder movements","Total itinerant movements","Number","223","units","0","v32858865","1.1.2.1","4248","","","","0"
"2020-05","Canada","2016A000011124","Total, all airports","Transborder movements","Total itinerant movements","Number","223","units","0","v32858865","1.1.2.1","4004","","","","0"
"2020-06","Canada","2016A000011124","Total, all airports","Transborder movements","Total itinerant movements","Number","223","units","0","v32858865","1.1.2.1","5110","","","","0"
"2020-01","Canada","2016A000011124","Total, all airports","Other international movements","Total itinerant movements","Number","223","units","0","v32858872","1.1.3.1","17686","","","","0"
"2020-02","Canada","2016A000011124","Total, all airports","Other international movements","Total itinerant movements","Number","223","units","0","v32858872","1.1.3.1","16409","","","","0"
"2020-03","Canada","2016A000011124","Total, all airports","Other international movements","Total itinerant movements","Number","223","units","0","v32858872","1.1.3.1","13628","","","","0"
"2020-04","Canada","2016A000011124","Total, all airports","Other international movements","Total itinerant movements","Number","223","units","0","v32858872","1.1.3.1","1775","","","","0"
"2020-05","Canada","2016A000011124","Total, all airports","Other international movements","Total itinerant movements","Number","223","units","0","v32858872","1.1.3.1","2665","","","","0"
"2020-06","Canada","2016A000011124","Total, all airports","Other international movements","Total itinerant movements","Number","223","units","0","v32858872","1.1.3.1","2751","","","","0"
"2020-01","Canada","2016A000011124","Abbotsford, British Columbia","Domestic movements","Total itinerant movements","Number","223","units","0","v32858879","1.2.1.1","3241","","","","0"
"2020-02","Canada","2016A000011124","Abbotsford, British Columbia","Domestic movements","Total itinerant movements","Number","223","units","0","v32858879","1.2.1.1","5006","","","","0"
"2020-03","Canada","2016A000011124","Abbotsford, British Columbia","Domestic movements","Total itinerant movements","Number","223","units","0","v32858879","1.2.1.1","4556","","","","0"
"2020-04","Canada","2016A000011124","Abbotsford, British Columbia","Domestic movements","Total itinerant movements","Number","223","units","0","v32858879","1.2.1.1","1706","","","","0"
"2020-05","Canada","2016A000011124","Abbotsford, British Columbia","Domestic movements","Total itinerant movements","Number","223","units","0","v32858879","1.2.1.1","2841","","","","0"
